Dataset,Model,Accuracy,Precision,Recall,F1-Score,CV Mean,CV Std,Train Time (s),Predict Time (s)
Career,Random Forest,0.5143,0.4810,0.5143,0.4905,0.8750,0.0000,0.362,0.0490
Career,Logistic Regression,0.1429,0.0952,0.1429,0.1095,0.6471,0.0000,1.481,0.0000
Career,SVM,0.0000,0.0000,0.0000,0.0000,0.3309,0.0000,0.045,0.0025
Education,Random Forest,0.0476,0.0357,0.0476,0.0397,0.2439,0.0000,0.348,0.0478
Education,Logistic Regression,0.0000,0.0000,0.0000,0.0000,0.2134,0.0000,0.868,0.0000
Education,SVM,0.0238,0.0238,0.0238,0.0238,0.2317,0.0000,0.090,0.0037
Tesda,Random Forest,0.0500,0.0167,0.0500,0.0250,0.3553,0.0000,0.349,0.0477
Tesda,Logistic Regression,0.0000,0.0000,0.0000,0.0000,0.3421,0.0000,0.871,0.0010
Tesda,SVM,0.0500,0.0167,0.0500,0.0250,0.3553,0.0000,0.022,0.0010
